stock_id,date,product_name,product_category,unit_sold,price,cost,stock_available
DQ-M-BAD,1/1/2024,Buku Agenda DQLab,Merchandise,87,239850,149850,148
DQ-M-TLD,1/1/2024,Termos Logo DQLab,Merchandise,70,194850,149850,94
DQ-AT-SND,1/1/2024,Sticky Notes DQLab,Alat Tulis,9,59850,29850,90
DQ-BC-NAD,1/1/2024,Notebook A5 DQLab,Buku Catatan,17,194850,149850,87
DQ-M-DKD,1/1/2024,Dompet Kartu DQLab,Merchandise,25,149850,119850,55
DQ-E-EKD,1/1/2024,Earphone Kantor DQLab,Elektronik,147,224850,104850,239
DQ-M-BMD,1/1/2024,Botol Minum DQLab,Merchandise,31,239850,179850,127
DQ-KC-KND,1/1/2024,Kartu Nama DQLab,Kertas & Cetak,372,104850,59850,456
DQ-AT-PMD,1/1/2024,Pulpen Metal DQLab,Alat Tulis,98,164850,149850,182
DQ-O-KSD,1/1/2024,Kotak Serbaguna DQLab,Organisasi,18,224850,164850,115
DQ-KC-LND,1/1/2024,Label Nama DQLab,Kertas & Cetak,34,164850,89850,67
DQ-M-STED,1/1/2024,Set Tulis Eksekutif DQLab,Merchandise,40,299850,209850,52
DQ-E-PMD,1/1/2024,Printer Mini DQLab,Elektronik,86,599850,524850,117
DQ-PM-PKD,1/1/2024,Papan Klip DQLab,Perlengkapan Meja,26,374850,134850,88
DQ-E-KBD,1/1/2024,Kalkulator Besar DQLab,Elektronik,51,149850,104850,62
DQ-O-MED,1/1/2024,Map Eksklusif DQLab,Organisasi,34,299850,209850,131
DQ-E-LMD,1/1/2024,Label Maker DQLab,Elektronik,73,299850,224850,112
DQ-AT-TRD,1/1/2024,Tipe-X Roller DQLab,Alat Tulis,5,44850,29850,52
DQ-PM-SBD,1/1/2024,Staples + Box DQLab,Perlengkapan Meja,27,74850,59850,38
DQ-E-PLD,1/1/2024,Powerbank Logo DQLab,Elektronik,38,299850,269850,111
DQ-P-LCD,1/1/2024,Lakban + Cutter DQLab,Pengemasan,88,134850,119850,157
DQ-M-TLD,1/1/2024,Tumbler Logo DQLab,Merchandise,23,194850,164850,53
DQ-E-SMD,1/1/2024,Speaker Mini DQLab,Elektronik,57,389850,314850,99
DQ-KC-KUD,1/1/2024,Kartu Ucapan DQLab,Kertas & Cetak,29,119850,59850,114
DQ-KC-KUD,1/1/2024,Kartu Ucapan DQLab,Kertas & Cetak,29,119850,59850,114
DQ-M-BAD,1/2/2024,Buku Agenda DQLab,Merchandise,193,239850,149850,260
DQ-M-TLD,1/2/2024,Termos Logo DQLab,Merchandise,26,194850,149850,57
DQ-BC-NAD,1/2/2024,Notebook A5 DQLab,Buku Catatan,43,194850,149850,141
DQ-E-EKD,1/2/2024,Earphone Kantor DQLab,Elektronik,427,224850,104850,485
DQ-M-BMD,1/2/2024,Botol Minum DQLab,Merchandise,59,239850,179850,127
DQ-KC-KND,1/2/2024,Kartu Nama DQLab,Kertas & Cetak,120,104850,59850,171
DQ-AT-PMD,1/2/2024,Pulpen Metal DQLab,Alat Tulis,36,164850,149850,105
DQ-O-KSD,1/2/2024,Kotak Serbaguna DQLab,Organisasi,50,224850,164850,139
DQ-KC-LND,1/2/2024,Label Nama DQLab,Kertas & Cetak,51,164850,89850,75
DQ-M-STED,1/2/2024,Set Tulis Eksekutif DQLab,Merchandise,3,299850,209850,74
DQ-E-PMD,1/2/2024,Printer Mini DQLab,Elektronik,55,599850,524850,126
DQ-E-KBD,1/2/2024,Kalkulator Besar DQLab,Elektronik,32,149850,104850,88
DQ-E-LMD,1/2/2024,Label Maker DQLab,Elektronik,12,299850,224850,83
DQ-AT-TRD,1/2/2024,Tipe-X Roller DQLab,Alat Tulis,46,44850,29850,106
DQ-PM-SBD,1/2/2024,Staples + Box DQLab,Perlengkapan Meja,94,74850,59850,158
DQ-E-PLD,1/2/2024,Powerbank Logo DQLab,Elektronik,46,299850,269850,119
DQ-P-LCD,1/2/2024,Lakban + Cutter DQLab,Pengemasan,71,134850,119850,83
DQ-M-TLD,1/2/2024,Tumbler Logo DQLab,Merchandise,15,194850,164850,75
DQ-E-SMD,1/2/2024,Speaker Mini DQLab,Elektronik,27,389850,314850,43
DQ-M-BAD,1/3/2024,Buku Agenda DQLab,Merchandise,22,239850,149850,52
DQ-M-TLD,1/3/2024,Termos Logo DQLab,Merchandise,26,194850,149850,108
DQ-AT-SND,1/3/2024,Sticky Notes DQLab,Alat Tulis,11,59850,29850,59
DQ-BC-NAD,1/3/2024,Notebook A5 DQLab,Buku Catatan,8,194850,149850,35
DQ-M-DKD,1/3/2024,Dompet Kartu DQLab,Merchandise,3,149850,119850,16
DQ-E-EKD,1/3/2024,Earphone Kantor DQLab,Elektronik,168,224850,104850,266
DQ-M-BMD,1/3/2024,Botol Minum DQLab,Merchandise,75,239850,179850,144
