date,product_id,product_name,product_category,purchase,add_to_cart,click,view
1012024,DQProduk-001,Buku Agenda DQLab,Merchandise,87,979,3434,6631
1012024,DQProduk-002,Termos Logo DQLab,Merchandise,70,671,2663,4956
1012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,9,90,353,535
1012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,17,200,1091,2093
1012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,25,224,844,1682
1012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,147,1412,7690,8120
1012024,DQProduk-007,Botol Minum DQLab,Merchandise,31,339,1103,1796
1012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,372,4458,20629,23198
1012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,98,927,4573,8043
1012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,18,172,1006,1398
1012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,34,273,1012,1768
1012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,40,462,2002,3434
1012024,DQProduk-018,Printer Mini DQLab,Elektronik,86,858,4176,7613
1012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,26,287,945,1018
1012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,51,465,2760,3298
1012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,34,320,1787,2448
1012024,DQProduk-024,Label Maker DQLab,Elektronik,73,616,2862,3137
1012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,5,58,185,340
1012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,27,244,733,892
1012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,38,337,1867,2290
1012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,88,954,3220,5949
1012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,23,220,1020,1033
1012024,DQProduk-034,Speaker Mini DQLab,Elektronik,57,517,2620,4803
1012024,DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,29,290,1427,2507
1012024,DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,29,290,1427,2507
2012024,DQProduk-001,Buku Agenda DQLab,Merchandise,193,1881,6648,7044
2012024,DQProduk-002,Termos Logo DQLab,Merchandise,26,276,1482,2914
2012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,43,355,1555,1564
2012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,427,4113,14000,25957
2012024,DQProduk-007,Botol Minum DQLab,Merchandise,59,641,2531,2878
2012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,120,1399,6086,10829
2012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,36,390,1298,1542
2012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,50,468,2775,4537
2012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,51,595,3027,4361
2012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,3,30,92,153
2012024,DQProduk-018,Printer Mini DQLab,Elektronik,55,533,2773,5478
2012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,32,374,1821,2913
2012024,DQProduk-024,Label Maker DQLab,Elektronik,12,107,597,1147
2012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,46,433,1330,1471
2012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,94,1015,5308,9799
2012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,46,503,1747,2856
2012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,71,808,3073,5579
2012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,15,146,602,865
2012024,DQProduk-034,Speaker Mini DQLab,Elektronik,27,303,1377,2214
3012024,DQProduk-001,Buku Agenda DQLab,Merchandise,22,233,1229,2246
3012024,DQProduk-002,Termos Logo DQLab,Merchandise,26,278,1450,2204
3012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,11,89,385,701
3012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,8,73,304,538
3012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,3,35,195,219
3012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,168,1684,6187,9476
3012024,DQProduk-007,Botol Minum DQLab,Merchandise,75,624,3120,3741
3012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,53,429,2032,2076
3012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,28,324,1289,1579
3012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,26,218,892,1045
3012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,27,317,953,1720
3012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,41,405,1319,2260
3012024,DQProduk-018,Printer Mini DQLab,Elektronik,69,772,3617,7019
3012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,8,73,393,710
3012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,11,123,518,1029
3012024,DQProduk-024,Label Maker DQLab,Elektronik,29,248,1057,1159
3012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,15,133,780,1429
3012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,35,416,1381,1826
3012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,20,170,846,983
3012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,43,455,1790,2978
3012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,18,158,906,975
3012024,DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,14,163,490,795
3012024,DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,14,163,490,795
4012024,DQProduk-001,Buku Agenda DQLab,Merchandise,58,607,2591,3871
4012024,DQProduk-002,Termos Logo DQLab,Merchandise,56,508,2677,3416
4012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,21,170,883,1614
4012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,250,2097,10934,19027
4012024,DQProduk-007,Botol Minum DQLab,Merchandise,29,272,1117,1945
4012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,88,1000,4786,7505
4012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,22,253,1138,1805
4012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,59,644,3819,5313
4012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,22,217,1280,2371
4012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,70,672,4026,5103
4012024,DQProduk-018,Printer Mini DQLab,Elektronik,43,404,1769,3232
4012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,56,572,3001,3715
4012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,41,410,1761,3110
4012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,4,37,146,195
4012024,DQProduk-024,Label Maker DQLab,Elektronik,12,113,614,808
4012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,35,377,1387,2543
4012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,9,98,352,601
4012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,33,296,1086,1476
4012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,31,297,1215,1677
4012024,DQProduk-034,Speaker Mini DQLab,Elektronik,21,203,695,859
5012024,DQProduk-001,Buku Agenda DQLab,Merchandise,160,1777,6372,11430
5012024,DQProduk-002,Termos Logo DQLab,Merchandise,27,224,793,1560
5012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,6,52,162,304
5012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,30,252,1039,1446
5012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,314,3054,11883,21512
5012024,DQProduk-007,Botol Minum DQLab,Merchandise,67,798,2665,3947
5012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,116,1291,5352,9038
5012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,125,1124,6151,8409
5012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,21,235,1332,2491
5012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,46,497,2299,2511
5012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,56,523,2386,4644
5012024,DQProduk-018,Printer Mini DQLab,Elektronik,45,380,1752,3427
5012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,34,402,1672,1704
